id,sname,sdescription,fee
0,Organized object-oriented forecast,'State listen author. Discuss painting tree. Head sometimes authority. Cover age sense.',6649
1,Re-contextualized static budgetary management,'Cultural cold force million. List act hit. Some scene material standard every win explain camera.',4553
2,Switchable incremental concept,'Growth dream pick. Owner develop too response. Energy despite will.',9634
3,Realigned optimizing throughput,'Black perform about kitchen own red total. Go east career security change. Deal rest eye.',4322
4,User-centric responsive framework,'I detail so seat. Listen rather culture rest above. Same seem thousand.',3627
5,Focused system-worthy budgetary management,'Authority onto network. Serious sell raise discuss. Poor lose suggest behavior.',650
6,Open-architected empowering support,'Yet way child single base give bank. Pay detail growth development laugh usually.',9504
7,Persevering neutral approach,'Start center so term generation. Mr hit rich green. Receive paper growth sense civil.',5586
8,Triple-buffered uniform process improvement,'Deal your ball travel suggest buy discuss. Couple thus add because dream.',4056
9,Centralized cohesive leverage,'Range condition skin cover despite. Focus investment huge more radio call.',1168
10,Object-based cohesive success,'Make part ball hotel. Movement conference feeling everything rather.',6098
11,User-centric dedicated service-desk,'Maintain common lay. Talk good series. Style recent majority force.',1089
12,Polarized radical application,'Close letter south a number already position audience. Save drop yet cell.',2275
13,Persistent disintermediate open architecture,'Tough occur letter this time station oil.',5183
14,Down-sized client-server hardware,'Behavior ever feel garden too. Then good across wife school husband.',8327
15,Focused asymmetric archive,'Say cold investment need his. Room write man according before feeling.',5622
16,Horizontal motivating standardization,'Budget day could wife respond machine. Book respond today whole his drive.',6983
17,Optional interactive orchestration,'Change who economy end history Republican. See owner far yeah stage them minute according.',3140
18,Devolved holistic forecast,'Mrs read against area similar. Form along catch standard.',1884
19,Managed real-time database,'Beat with hair situation yet service.',1975
20,Automated empowering leverage,'Nation option stand little nice. Live capital music price participant forward support.',1167
21,Enterprise-wide hybrid interface,'Way alone feeling appear. Task paper blood strong skill. Might factor theory learn animal seek.',4038
22,Synergistic transitional secured line,'Or newspaper draw dream. That four pressure break issue could black.',1958
23,Multi-lateral bi-directional groupware,'How fund finally woman wear year than. Book sure sell son. Court project seek shake ready.',9786
24,Triple-buffered methodical framework,'Now describe everything election though how away. Choose no him specific.',619
25,Public-key bandwidth-monitored implementation,'Blood interview reveal purpose left. Sound manage road though important agency.',8286
26,Inverse national strategy,'View rule different dog find news. Far thousand participant pull.',6073
27,Re-engineered background hardware,'Onto kid nation. Within firm fear follow. Claim local society speech stop worry expert single.',7120
28,Distributed stable process improvement,'Piece beautiful write. Second practice arrive star.',9367
29,Phased 6thgeneration software,'General at popular region. Example discuss court they. Close size especially available indicate.',2272
30,Balanced regional process improvement,'Her wall Mr rest Mr security. Such concern chance. Much certainly story push.',7035
31,Proactive solution-oriented knowledgebase,'Meet story recently trip someone lawyer idea chance. Each first piece beyond.',4298
32,Persistent clear-thinking focus group,'Term artist bar west like surface against. Finish participant option a anyone stuff store.',2195
33,Multi-channeled directional Internet solution,'Scene perhaps south coach family leader. On industry right customer. More clear and recent century.',6963
34,Public-key value-added policy,'Computer lawyer whose kind list benefit poor. Various seek rest available system head.',6519
35,Programmable grid-enabled framework,'Land that paper control ground. Bed maintain seem first.',3792
36,Self-enabling well-modulated hierarchy,'Away professor expect rest contain base blue. Among save yet floor mouth television most.',6258
37,Balanced full-range toolset,'Lead garden director describe nothing. Member dark than for most program say.',3982
38,Diverse asymmetric conglomeration,'Black official space far right those service. Remain reduce building wife according.',5628
39,Switchable national success,'Thousand site drop we finish mind. Our last in family president now wife.',8414
40,Assimilated user-facing secured line,'Finally stop leader. Religious popular husband throw.',7686
41,Fundamental mission-critical hub,'Seem section still drive role throughout worker.',8881
42,Synergistic executive analyzer,'Significant store identify personal. Modern occur behind lot should speak claim easy.',7772
43,Team-oriented dedicated protocol,'Imagine name power almost. Senior ask long think.',7138
44,Down-sized attitude-oriented adapter,'Employee individual lay many man while adult water.',9777
45,Ergonomic multi-tasking migration,'Any animal young simply. Nothing friend model stop maybe left animal enter.',6800
46,Centralized dedicated hub,'Necessary activity end station involve program. Learn part defense become nature field.',4988
47,Team-oriented encompassing encoding,'Until paper break of. Relate start fight school suffer open mind baby.',4754
48,Right-sized zero administration implementation,'Across mission bed mother travel. First million item coach only. Form describe subject economic.',8647
49,Visionary static product,'Option federal decade me team glass. Although teach sort commercial into remember ability.',3116
50,Multi-layered mission-critical standardization,'Push wait nothing. Task scientist yes Congress. Walk stop financial report challenge.',6782
51,User-centric needs-based approach,'During beyond here Mrs anything goal member. Letter six choose data much condition explain.',4971
52,Phased global process improvement,'Trip remain region to end option standard. Rich seven great seven chair.',1203
53,Multi-channeled discrete migration,'Majority bill campaign why college appear fear according. Impact can if ever project American.',8910
54,Vision-oriented cohesive firmware,'Effort media huge wife. Whether health quickly knowledge certain amount but.',5640
55,Intuitive background application,'Represent finally talk resource a. Forget nor thought first.',7710
56,Virtual asynchronous circuit,'Break million management focus interview. Nor simply move page still.',5601
57,Compatible fault-tolerant parallelism,'Senior listen hard fund week great. Agency medical enter.',9426
58,Quality-focused real-time definition,'Family bad political. Role term despite fund trip one. Trade race room all eight.',5054
59,User-friendly non-volatile software,'Response true care worry present. Year show on into hotel point. Represent tell fast pick that.',7712
60,Open-source clear-thinking leverage,'They guy great lot check. Amount form term including center identify.',9162
61,Stand-alone non-volatile challenge,'Behind student piece. Model feeling say provide. Him nice car election day very.',5119
62,Right-sized cohesive project,'Somebody political card resource necessary just.',4694
63,Devolved mission-critical throughput,'Your size discuss position region onto sort according. Political beautiful vote course.',8905
64,Public-key systematic model,'Record position up involve growth. Home day low everyone.',5928
65,Configurable logistical encryption,'Turn ahead third consumer. Music ready short.',88
66,Synergistic maximized function,'But occur TV. Leg focus expect interest. He world set today.',7546
67,Multi-lateral grid-enabled paradigm,'Shake source join amount. Meet step reach imagine foot would.',4145
68,Optional multi-tasking conglomeration,'Part up blood save during election itself. Candidate goal sound lose military sure.',6202
69,Balanced user-facing superstructure,'President idea many girl. Adult recently contain year decide.',4514
70,Up-sized zero tolerance product,'From outside thousand fall. Act themselves statement give.',8187
71,Decentralized zero tolerance ability,'Determine lose energy guess woman tonight get. Her dark figure become little more seek.',7079
72,Organic multi-state neural-net,'Site continue tax win.',5718
73,Exclusive 6thgeneration knowledge user,'Meet child beyond window its. Information produce party usually important personal career.',4250
74,Front-line intangible project,'Without economic others there. Law officer company western sell class decide.',3075
75,Synchronized actuating emulation,'Her option hospital herself throughout stand. Nation medical itself energy.',6015
76,Persevering content-based throughput,'Describe after matter Congress wonder sound. Without leader detail political car less.',9615
77,Secured tangible website,'Happy road the world. Democrat power wait their side east less. System blue according old senior.',6502
78,Intuitive user-facing frame,'Subject human never rather. Fire law president responsibility.',5537
79,Future-proofed regional challenge,'Between analysis list task century step.',2002
80,Phased dynamic moratorium,'Baby ball explain population coach training compare might. Culture crime change talk writer.',3415
81,De-engineered radical circuit,'Third military share attention well.',1391
82,Balanced intermediate leverage,'Very now Mr rather and article. Event majority actually ago brother federal condition authority.',3461
83,Expanded user-facing Local Area Network,'Source rich southern safe understand. Star four foot card. Put whom color. Who people respond.',5857
84,User-centric encompassing info-mediaries,'Day as cell team. Left some idea. Someone land home he education carry offer contain.',8448
85,Optional value-added infrastructure,'Out feeling everything significant such.',123
86,Multi-tiered client-server portal,'Owner year while look anything.',5645
87,Grass-roots full-range analyzer,'Talk message all decision low ten.',4835
88,Triple-buffered secondary utilization,'Chance some newspaper last. Their perhaps technology who decision. Along voice write leader.',656
89,Future-proofed homogeneous policy,'Paper man field resource. Tree same couple. Bill plan name also cold note.',2264
90,Multi-channeled encompassing architecture,'There other young discover practice. History camera you business.',3569
91,Centralized 6thgeneration open system,'Practice we record bag visit foreign. Enjoy anything early science no candidate discuss.',1949
92,Vision-oriented even-keeled access,'Pm support machine body. Age unit turn not yard. Simple drop true because air beautiful.',5655
93,Intuitive discrete contingency,'Power none major themselves. Mr price factor campaign. Speak realize head knowledge water image.',2556
94,Automated impactful help-desk,'Else whole word something tend. Speech send customer tree animal safe care.',9402
95,Open-source mobile encryption,'Serious sister rise away coach. Film conference television month nature new news.',3939
96,Vision-oriented disintermediate middleware,'Religious shoulder month wonder.',9187
97,Vision-oriented encompassing throughput,'Market of media under approach budget. Such old phone represent.',2566
98,Robust stable function,'Talk radio Democrat save quality stage bar I. Help then tree manage campaign industry.',2050
99,Horizontal value-added emulation,'Call list fly daughter fly. Organization learn prepare first appear reach enter.',1239
